week,group,mouse,weight,sex
1,group 3,129,12.7,female
2,group 3,129,15,female
3,group 3,129,15.2,female
4,group 3,129,16.5,female
5,group 3,129,16.6,female
6,group 3,129,17,female
7,group 3,129,18.2,female
8,group 3,129,19.2,female
9,group 3,129,17.9,female
10,group 3,129,18.7,female
11,group 3,129,20,female
12,group 3,129,18.9,female
13,group 3,129,18.6,female
14,group 3,129,19.3,female
15,group 3,129,19.3,female
16,group 3,129,19.7,female
17,group 3,129,20.6,female
18,group 3,129,19.8,female
19,group 3,129,20.1,female
20,group 3,129,21.9,female
21,group 3,129,20.6,female
22,group 3,129,21.1,female
23,group 3,129,20.2,female
24,group 3,129,19.7,female
25,group 3,129,22.1,female
26,group 3,129,21.7,female
27,group 3,129,20.4,female
28,group 3,129,20.5,female
29,group 3,129,21.6,female
30,group 3,129,20.8,female
31,group 3,129,22.4,female
32,group 3,129,22.8,female
33,group 3,129,21.4,female
34,group 3,129,21.7,female
35,group 3,129,21.2,female
36,group 3,129,21.5,female
37,group 3,129,21.8,female
38,group 3,129,21.2,female
39,group 3,129,21,female
40,group 3,129,20.8,female
41,group 3,129,20.9,female
42,group 3,129,21.9,female
43,group 3,129,21.3,female
44,group 3,129,22.2,female
45,group 3,129,22.2,female
46,group 3,129,23.1,female
47,group 3,129,21.9,female
48,group 3,129,21.8,female
49,group 3,129,22.2,female
50,group 3,129,22.7,female
51,group 3,129,21,female
52,group 3,129,22,female
53,group 3,129,23.1,female
54,group 3,129,21.8,female
55,group 3,129,23.1,female
56,group 3,129,19.9,female
57,group 3,129,22.7,female
58,group 3,129,22.8,female
59,group 3,129,22.1,female
60,group 3,129,22.3,female
61,group 3,129,22.8,female
62,group 3,129,22.5,female
63,group 3,129,21.7,female
64,group 3,129,21.9,female
65,group 3,129,21.9,female
66,group 3,129,21.8,female
67,group 3,129,22.1,female
68,group 3,129,22.3,female
69,group 3,129,22,female
70,group 3,129,21.8,female
71,group 3,129,23.7,female
72,group 3,129,22.8,female
73,group 3,129,21.3,female
1,group 3,130,15.7,female
2,group 3,130,18,female
3,group 3,130,18.9,female
4,group 3,130,19.5,female
5,group 3,130,21,female
6,group 3,130,21.8,female
7,group 3,130,22.4,female
8,group 3,130,25,female
9,group 3,130,22.8,female
10,group 3,130,24.5,female
11,group 3,130,25.8,female
12,group 3,130,24.5,female
13,group 3,130,25.8,female
14,group 3,130,27.1,female
15,group 3,130,26.4,female
16,group 3,130,27.7,female
17,group 3,130,27,female
18,group 3,130,29.3,female
19,group 3,130,31.2,female
20,group 3,130,31.4,female
21,group 3,130,30.6,female
22,group 3,130,32.4,female
23,group 3,130,33.3,female
24,group 3,130,30.3,female
25,group 3,130,32.1,female
26,group 3,130,33.2,female
27,group 3,130,31.7,female
28,group 3,130,32.2,female
29,group 3,130,32.9,female
30,group 3,130,29.7,female
31,group 3,130,31.4,female
32,group 3,130,32.6,female
33,group 3,130,32.7,female
34,group 3,130,30.8,female
35,group 3,130,31.9,female
36,group 3,130,32.4,female
37,group 3,130,30.7,female
38,group 3,130,32.1,female
39,group 3,130,32.4,female
40,group 3,130,31.2,female
41,group 3,130,32.2,female
42,group 3,130,34.9,female
43,group 3,130,33.3,female
44,group 3,130,34.2,female
45,group 3,130,35.6,female
46,group 3,130,36.8,female
47,group 3,130,35.4,female
48,group 3,130,36.3,female
49,group 3,130,37,female
50,group 3,130,36.7,female
51,group 3,130,36.8,female
52,group 3,130,39,female
53,group 3,130,40,female
54,group 3,130,37.4,female
55,group 3,130,38.2,female
56,group 3,130,35.7,female
57,group 3,130,37.5,female
58,group 3,130,28.8,female
59,group 3,130,37.3,female
60,group 3,130,37.3,female
61,group 3,130,37.7,female
62,group 3,130,37.5,female
63,group 3,130,37.7,female
64,group 3,130,38.8,female
